Year,Cash flow,Discounted cash flow,Cash flow w/Wind,Discounted cash flow w/Wind
-4,-165.1920624,-165.1920624,-189.1920624,-189.1920624
-3,-330.3841248,-318.1476757,-378.3841248,-364.3698979
-2,-495.5761871,-459.7732436,-567.5761871,-526.5715975
-1,-660.7682495,-590.9080286,-756.7682495,-676.7583563
1,-616.2975488,-558.2207361,-705.6318613,-639.1715844
2,-544.1662368,-509.1293772,-623.0403666,-582.9612009
3,-472.0349248,-463.6744152,-540.4488719,-530.9145495
4,-399.9036128,-421.5864874,-457.8573771,-482.7232056
5,-327.7723009,-382.616184,-375.2658824,-438.1015909
6,-255.6409889,-346.5325696,-292.6743877,-396.785281
7,-183.5096769,-313.1218156,-210.082893,-358.5294384
8,-111.3783649,-282.1859323,-127.4913983,-323.107362
9,-39.24705288,-253.5415959,-44.89990355,-290.3091431
10,32.88425912,-227.0190622,37.69159117,-259.9404219
11,105.0155711,-202.4611606,120.2830859,-231.8212356
12,177.1468831,-179.7223628,202.8745806,-205.784952
13,249.2781951,-158.6679204,285.4660753,-181.677282
14,321.4095071,-139.1730663,368.05757,-159.3553653
15,393.5408191,-121.1222756,450.6490648,-138.686924
16,465.6721311,-104.4085804,533.2405595,-119.5494783
17,537.8034431,-88.93293669,615.8320542,-101.8296211
18,609.9347551,-74.60363698,698.4235489,-85.42234598
19,682.0660671,-61.33576688,781.0150436,-70.23042457
20,754.1973791,-49.05070197,863.6065384,-56.16383066
21,826.3286911,-37.67564187,946.1980331,-43.13920668
22,898.460003,-27.14317881,1028.789528,-31.07936966
23,970.591315,-17.3908982,1111.381023,-19.9128539
24,1042.722627,-8.361008751,1193.972517,-9.57348745
25,1114.853939,0,1276.564012,0
