Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),wind speed at 80m (m/s),wind speed at 120m (m/s)
2020,1,1,0,0,10.50,9.93,11.07
2020,1,1,0,5,10.47,9.90,11.03
2020,1,1,0,10,10.43,9.85,10.99
2020,1,1,0,15,10.37,9.790000000000001,10.94
2020,1,1,0,20,10.33,9.75,10.91
2020,1,1,0,25,10.290000000000001,9.70,10.870000000000001
2020,1,1,0,30,10.24,9.64,10.81
2020,1,1,0,35,10.19,9.60,10.77
2020,1,1,0,40,10.10,9.51,10.68
2020,1,1,0,45,9.950000000000001,9.36,10.53
2020,1,1,0,50,9.790000000000001,9.200000000000001,10.35
2020,1,1,0,55,9.68,9.10,10.22
2020,1,1,1,0,9.59,9.03,10.120000000000001
2020,1,1,1,5,9.52,8.97,10.05
2020,1,1,1,10,9.49,8.92,10.01
2020,1,1,1,15,9.450000000000001,8.89,9.99
2020,1,1,1,20,9.47,8.91,10.01
2020,1,1,1,25,9.53,8.97,10.07
2020,1,1,1,30,9.59,9.02,10.13
2020,1,1,1,35,9.66,9.09,10.200000000000001
2020,1,1,1,40,9.76,9.18,10.30
2020,1,1,1,45,9.82,9.24,10.370000000000001
2020,1,1,1,50,9.81,9.22,10.36
2020,1,1,1,55,9.74,9.15,10.290000000000001
2020,1,1,2,0,9.700000000000001,9.11,10.25
2020,1,1,2,5,9.63,9.03,10.18
2020,1,1,2,10,9.51,8.92,10.07
2020,1,1,2,15,9.42,8.83,9.98
2020,1,1,2,20,9.34,8.74,9.89
2020,1,1,2,25,9.25,8.66,9.80
2020,1,1,2,30,9.16,8.58,9.71
2020,1,1,2,35,9.07,8.49,9.61
2020,1,1,2,40,9.00,8.43,9.540000000000001
2020,1,1,2,45,8.98,8.40,9.52
2020,1,1,2,50,8.94,8.36,9.49
2020,1,1,2,55,8.88,8.30,9.44
2020,1,1,3,0,8.83,8.25,9.38
2020,1,1,3,5,8.76,8.19,9.31
2020,1,1,3,10,8.66,8.09,9.200000000000001
2020,1,1,3,15,8.55,7.98,9.08
2020,1,1,3,20,8.43,7.87,8.950000000000001
2020,1,1,3,25,8.290000000000001,7.75,8.81
2020,1,1,3,30,8.16,7.61,8.67
2020,1,1,3,35,8.040000000000001,7.50,8.55
2020,1,1,3,40,7.95,7.41,8.46
2020,1,1,3,45,7.88,7.33,8.39
2020,1,1,3,50,7.83,7.29,8.33
2020,1,1,3,55,7.80,7.26,8.30
2020,1,1,4,0,7.7700000000000005,7.23,8.27
2020,1,1,4,5,7.73,7.20,8.22
2020,1,1,4,10,7.69,7.16,8.17
2020,1,1,4,15,7.640000000000001,7.13,8.120000000000001
2020,1,1,4,20,7.6000000000000005,7.1000000000000005,8.08
2020,1,1,4,25,7.5600000000000005,7.07,8.040000000000001
2020,1,1,4,30,7.50,7.01,7.98
2020,1,1,4,35,7.46,6.99,7.930000000000001
2020,1,1,4,40,7.44,6.97,7.890000000000001
2020,1,1,4,45,7.40,6.94,7.86
2020,1,1,4,50,7.36,6.90,7.82
2020,1,1,4,55,7.33,6.88,7.78
2020,1,1,5,0,7.3100000000000005,6.86,7.75
2020,1,1,5,5,7.26,6.8100000000000005,7.69
2020,1,1,5,10,7.21,6.7700000000000005,7.63
2020,1,1,5,15,7.17,6.74,7.58
2020,1,1,5,20,7.140000000000001,6.71,7.54
2020,1,1,5,25,7.1000000000000005,6.69,7.50
2020,1,1,5,30,7.0600000000000005,6.65,7.46
2020,1,1,5,35,7.0200000000000005,6.61,7.40
2020,1,1,5,40,6.97,6.57,7.36
2020,1,1,5,45,6.93,6.53,7.3100000000000005
2020,1,1,5,50,6.90,6.51,7.2700000000000005
2020,1,1,5,55,6.90,6.5200000000000005,7.2700000000000005
2020,1,1,6,0,6.91,6.51,7.28
2020,1,1,6,5,6.88,6.48,7.26
2020,1,1,6,10,6.83,6.44,7.21
2020,1,1,6,15,6.79,6.42,7.15
2020,1,1,6,20,6.75,6.390000000000001,7.1000000000000005
2020,1,1,6,25,6.70,6.3500000000000005,7.04
2020,1,1,6,30,6.66,6.32,6.99
2020,1,1,6,35,6.640000000000001,6.3100000000000005,6.96
2020,1,1,6,40,6.640000000000001,6.33,6.95
2020,1,1,6,45,6.65,6.3500000000000005,6.94
2020,1,1,6,50,6.67,6.390000000000001,6.95
2020,1,1,6,55,6.71,6.44,6.98
2020,1,1,7,0,6.7700000000000005,6.49,7.03
2020,1,1,7,5,6.84,6.5600000000000005,7.1000000000000005
2020,1,1,7,10,6.890000000000001,6.61,7.16
2020,1,1,7,15,6.91,6.640000000000001,7.17
2020,1,1,7,20,6.93,6.66,7.18
2020,1,1,7,25,6.94,6.66,7.19
2020,1,1,7,30,6.91,6.63,7.17
2020,1,1,7,35,6.88,6.6000000000000005,7.13
2020,1,1,7,40,6.84,6.57,7.09
2020,1,1,7,45,6.8100000000000005,6.54,7.05
2020,1,1,7,50,6.79,6.5200000000000005,7.04
2020,1,1,7,55,6.8100000000000005,6.53,7.07
2020,1,1,8,0,6.86,6.57,7.12
2020,1,1,8,5,6.890000000000001,6.61,7.16
2020,1,1,8,10,6.91,6.63,7.16
2020,1,1,8,15,6.91,6.63,7.17
2020,1,1,8,20,6.92,6.640000000000001,7.18
2020,1,1,8,25,6.94,6.640000000000001,7.21
2020,1,1,8,30,6.95,6.640000000000001,7.21
2020,1,1,8,35,6.96,6.65,7.22
2020,1,1,8,40,6.94,6.640000000000001,7.21
2020,1,1,8,45,6.90,6.61,7.18
2020,1,1,8,50,6.86,6.58,7.13
2020,1,1,8,55,6.83,6.54,7.1000000000000005
2020,1,1,9,0,6.80,6.51,7.07
2020,1,1,9,5,6.7700000000000005,6.47,7.05
2020,1,1,9,10,6.76,6.47,7.03
2020,1,1,9,15,6.76,6.48,7.03
2020,1,1,9,20,6.74,6.47,7.00
2020,1,1,9,25,6.69,6.42,6.94
2020,1,1,9,30,6.640000000000001,6.37,6.88
2020,1,1,9,35,6.58,6.3100000000000005,6.83
2020,1,1,9,40,6.55,6.2700000000000005,6.80
2020,1,1,9,45,6.53,6.25,6.79
2020,1,1,9,50,6.50,6.22,6.7700000000000005
2020,1,1,9,55,6.46,6.19,6.74
2020,1,1,10,0,6.44,6.16,6.71
2020,1,1,10,5,6.42,6.15,6.70
2020,1,1,10,10,6.42,6.13,6.70
2020,1,1,10,15,6.42,6.11,6.72
2020,1,1,10,20,6.44,6.11,6.75
2020,1,1,10,25,6.46,6.13,6.7700000000000005
